order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating
6820,1779,732,2024-04-06 00:00:00,Apt 995,Apt 959,350.06,2.76
7689,9741,892,2024-04-06 00:00:00,Apt 1170,Apt 115,2451.98,0.29
8662,4349,812,2024-04-06 00:00:00,Apt 1951,Apt 610,3878.37,1.05
9962,2934,318,2024-04-06 00:00:00,Room 316,17th Floor,1227.86,1.02
4846,2995,415,2024-04-06 00:00:00,16th Floor,20th Floor,293.4,2.46
4577,2916,191,2024-04-06 00:00:00,10th Floor,PO Box 15508,3825.63,0.94
7622,4031,438,2024-04-06 00:00:00,Suite 25,Room 1159,3096.38,2.78
2438,5089,336,2024-04-06 00:00:00,Room 1433,PO Box 32074,958.48,3.08
9954,4765,100,2024-04-06 00:00:00,PO Box 94265,Suite 40,407.14,0.52
8464,5010,794,2024-04-06 00:00:00,Apt 527,Room 1294,2726.62,4.05
2408,4345,601,2024-04-06 00:00:00,PO Box 75962,PO Box 93676,2792.41,1.56
1429,2118,391,2024-04-06 00:00:00,10th Floor,Suite 4,3480.54,0.82
9030,8290,246,2024-04-06 00:00:00,Suite 20,Room 19,433.63,4.77
1070,9011,832,2024-04-06 00:00:00,4th Floor,Room 611,1999.33,1.26
5502,1994,353,2024-04-06 00:00:00,Apt 1717,12th Floor,2627.01,2.94
3647,7352,370,2024-04-06 00:00:00,10th Floor,PO Box 4032,1222.66,4.79
8179,4019,800,2024-04-06 00:00:00,Suite 59,14th Floor,4354.92,0.32
2153,9342,760,2024-04-06 00:00:00,Apt 1549,Apt 733,3967.68,4.24
8573,3767,541,2024-04-06 00:00:00,Apt 1576,9th Floor,4261.21,0.67
4513,8328,797,2024-04-06 00:00:00,13th Floor,Room 1300,1736.81,3.98
8343,3724,651,2024-04-06 00:00:00,Apt 127,PO Box 84896,3480.01,2.75
5422,3960,678,2024-04-06 00:00:00,Apt 623,18th Floor,1006.21,1.88
5895,4073,205,2024-04-06 00:00:00,3rd Floor,PO Box 7799,3775.46,2.21
8070,1043,154,2024-04-06 00:00:00,8th Floor,13th Floor,4996.81,0.69
1810,9209,376,2024-04-06 00:00:00,PO Box 83087,Room 1760,955.55,4.96
9602,7206,753,2024-04-06 00:00:00,Suite 30,Apt 1103,2680.38,4.01
2531,3184,207,2024-04-06 00:00:00,Apt 1189,PO Box 64024,1362.91,3.73
7421,5857,337,2024-04-06 00:00:00,Apt 1357,Apt 41,1505.45,4.95
4475,1857,225,2024-04-06 00:00:00,3rd Floor,Suite 38,1827.1,0.54
9053,5607,231,2024-04-06 00:00:00,PO Box 95033,Room 1742,4859.51,2.9
6515,4989,628,2024-04-06 00:00:00,Suite 36,Room 391,3683.6,4.39
2686,8288,865,2024-04-06 00:00:00,6th Floor,17th Floor,1690.47,1.33
1513,8741,807,2024-04-06 00:00:00,Apt 1528,Suite 57,3076.33,0.92
7702,1719,295,2024-04-06 00:00:00,Suite 26,8th Floor,1421.34,3.14
6553,6093,374,2024-04-06 00:00:00,Suite 2,Apt 1669,1652.79,0.06
4304,6345,329,2024-04-06 00:00:00,Apt 769,Room 6,3867.67,0.75
7504,5462,514,2024-04-06 00:00:00,Apt 610,Room 1014,1164.5,1.56
4770,1267,735,2024-04-06 00:00:00,5th Floor,PO Box 30806,2532.5,1.92
8726,6516,732,2024-04-06 00:00:00,PO Box 15813,Room 1646,2689.89,4.58
9555,3259,160,2024-04-06 00:00:00,Room 533,Room 975,3911.77,1.33
6475,6333,613,2024-04-06 00:00:00,Room 1166,Suite 16,4664.16,1.13
6504,1758,975,2024-04-06 00:00:00,PO Box 79364,14th Floor,4096.55,3.28
5735,5479,806,2024-04-06 00:00:00,Suite 48,Room 1559,4990.22,0.87
8724,1265,364,2024-04-06 00:00:00,6th Floor,Suite 86,2763.74,4.65
8601,9681,344,2024-04-06 00:00:00,Apt 104,Apt 1710,1825.76,4.25
4130,9713,996,2024-04-06 00:00:00,PO Box 13654,PO Box 33385,2716.59,2.47
7707,4776,443,2024-04-06 00:00:00,Room 148,Room 883,1588.07,1.28
1307,2920,551,2024-04-06 00:00:00,12th Floor,Room 729,4918.3,4.43
6051,8056,180,2024-04-06 00:00:00,Room 566,Suite 38,498.62,4.6
7736,2699,723,2024-04-06 00:00:00,PO Box 27970,16th Floor,1942.13,1.2
2351,9496,689,2024-04-06 00:00:00,Suite 67,Room 699,462.94,4.95
6838,5315,641,2024-04-06 00:00:00,Apt 611,1st Floor,1389.94,0.09
2604,6202,510,2024-04-06 00:00:00,Apt 31,18th Floor,17.55,3.44
5912,5652,510,2024-04-06 00:00:00,Suite 55,4th Floor,1544.51,0.62
9437,8232,915,2024-04-06 00:00:00,Room 870,PO Box 73548,622.64,2.64
6314,7564,936,2024-04-06 00:00:00,Suite 16,3rd Floor,774.49,4.55
5532,5998,865,2024-04-06 00:00:00,PO Box 53626,Room 1289,2587.62,0.22
7503,8205,806,2024-04-06 00:00:00,Apt 648,9th Floor,4484.34,0.38
4654,2356,116,2024-04-06 00:00:00,Suite 42,12th Floor,2977.68,2.06
4729,2371,900,2024-04-06 00:00:00,13th Floor,Apt 1549,4908.76,2.64
3121,7137,776,2024-04-06 00:00:00,Room 263,PO Box 3249,2842.1,0.42
2878,7434,308,2024-04-06 00:00:00,PO Box 64052,Apt 1787,1267.92,4.36
9828,4913,114,2024-04-06 00:00:00,Room 1513,Suite 92,1209.37,1.68
2776,4283,449,2024-04-06 00:00:00,Apt 1272,Apt 1332,4119.51,3.94
7548,6553,879,2024-04-06 00:00:00,Suite 8,Apt 49,4705.38,1.1
4074,2335,944,2024-04-06 00:00:00,Apt 1435,3rd Floor,4512.34,0.61
6386,7317,362,2024-04-06 00:00:00,PO Box 51079,20th Floor,1073.51,1.43
4413,8521,432,2024-04-06 00:00:00,10th Floor,Apt 1579,3108.41,2.28
7679,2527,310,2024-04-06 00:00:00,Apt 643,2nd Floor,754.64,3.75
7877,9699,324,2024-04-06 00:00:00,Apt 1354,Apt 458,2772.19,4.05
6974,1837,400,2024-04-06 00:00:00,PO Box 21066,PO Box 59755,2979.98,3.53
3759,3790,722,2024-04-06 00:00:00,PO Box 31873,PO Box 35201,1906.73,0.74
8296,8657,565,2024-04-06 00:00:00,PO Box 3416,Apt 772,3057.74,2.41
1272,7736,568,2024-04-06 00:00:00,PO Box 65316,Apt 900,3549.4,4.33
5012,8874,894,2024-04-06 00:00:00,5th Floor,4th Floor,4771.08,3.95
5312,6798,548,2024-04-06 00:00:00,Room 1872,4th Floor,3620.94,4.1
3763,7208,855,2024-04-06 00:00:00,PO Box 93343,Room 767,4711.97,4.7
5122,6752,733,2024-04-06 00:00:00,15th Floor,19th Floor,3320.31,2.27
4910,6390,213,2024-04-06 00:00:00,PO Box 36013,Apt 423,1858.56,3.45
1191,7144,221,2024-04-06 00:00:00,Apt 1611,9th Floor,4822.2,2.26
8140,5640,325,2024-04-06 00:00:00,Suite 6,20th Floor,2658.85,4.47
4152,8980,111,2024-04-06 00:00:00,PO Box 6298,Apt 1965,2875.65,0.82
1070,3244,678,2024-04-06 00:00:00,17th Floor,Apt 151,2768.63,0.91
5894,1680,626,2024-04-06 00:00:00,PO Box 22523,PO Box 89170,231.63,1.61
6089,1100,652,2024-04-06 00:00:00,Apt 1029,Suite 57,2202.21,1.54
2778,9882,207,2024-04-06 00:00:00,10th Floor,12th Floor,4249.16,3.49
9352,3156,153,2024-04-06 00:00:00,Room 1506,14th Floor,1181.66,2.02
5475,6146,260,2024-04-06 00:00:00,PO Box 17651,Apt 167,2727.25,4.67
1395,7740,471,2024-04-06 00:00:00,4th Floor,PO Box 99861,3621.36,2.53
6674,5330,737,2024-04-06 00:00:00,PO Box 55554,PO Box 45501,4582.9,0.43
4345,2745,634,2024-04-06 00:00:00,6th Floor,Suite 70,736.48,0.64
4273,8825,738,2024-04-06 00:00:00,Room 1200,PO Box 5268,4622.53,0.58
9019,7198,724,2024-04-06 00:00:00,PO Box 6097,PO Box 74699,2399.86,0.36
5868,5835,456,2024-04-06 00:00:00,PO Box 71435,Room 1002,2243.58,0.9
6825,6642,336,2024-04-06 00:00:00,15th Floor,Apt 259,4244.11,0.41
4962,6150,576,2024-04-06 00:00:00,12th Floor,Apt 1667,2107.77,3.08
9706,9566,413,2024-04-06 00:00:00,Suite 99,PO Box 20559,2046.08,0.89
7595,8654,479,2024-04-06 00:00:00,Apt 1967,PO Box 7682,2991.01,0.05
2189,7228,455,2024-04-06 00:00:00,PO Box 97215,Suite 57,510.94,2.03
1070,7543,736,2024-04-06 00:00:00,18th Floor,Suite 97,255.3,3.48
1022,9409,975,2024-04-06 00:00:00,Apt 170,PO Box 56664,3780.26,3.07
6174,7001,166,2024-04-06 00:00:00,Room 1373,Room 1003,4102.67,1.96
4221,5606,990,2024-04-06 00:00:00,Room 1915,Room 1278,1864.33,0.57
1260,8658,103,2024-04-06 00:00:00,Room 201,Suite 6,2500.68,2.85
5713,8594,851,2024-04-06 00:00:00,Room 1327,Suite 46,4104.63,3.67
5627,4205,949,2024-04-06 00:00:00,PO Box 82380,Apt 1258,401.21,0.82
7622,7938,458,2024-04-06 00:00:00,Suite 7,PO Box 32532,4364.92,2.61
7626,1563,597,2024-04-06 00:00:00,PO Box 15512,PO Box 35645,165.42,4.77
3314,9707,448,2024-04-06 00:00:00,Apt 653,Room 1816,3804.34,3.03
8861,7940,472,2024-04-06 00:00:00,Room 174,Apt 853,697.58,3.74
7037,6409,972,2024-04-06 00:00:00,Room 669,Apt 351,172.34,1.76
6116,3096,599,2024-04-06 00:00:00,Room 635,Suite 18,1520.09,0.6
1498,2226,236,2024-04-06 00:00:00,Suite 60,Apt 851,3270.62,4.76
9354,7656,302,2024-04-06 00:00:00,PO Box 44583,PO Box 92550,2291.66,4.1
2540,1990,919,2024-04-06 00:00:00,Apt 562,Apt 1225,2391.38,2.5
2100,6402,573,2024-04-06 00:00:00,Suite 99,Suite 53,3319.17,1.13
6217,6746,280,2024-04-06 00:00:00,Suite 63,15th Floor,1785.51,2.67
1243,3226,734,2024-04-06 00:00:00,Room 1783,PO Box 85339,4719.49,3.8
8426,4343,983,2024-04-06 00:00:00,Apt 498,Suite 63,2739.76,3.12
8048,7298,907,2024-04-06 00:00:00,PO Box 48103,Room 1579,2241.58,0.96
2545,4618,301,2024-04-06 00:00:00,Apt 1486,19th Floor,1832.86,1.99
8144,4424,842,2024-04-06 00:00:00,Apt 915,Suite 4,2436.58,2.92
3801,3864,438,2024-04-06 00:00:00,Apt 1139,Room 1463,40.23,2.07
9787,9687,121,2024-04-06 00:00:00,Room 1136,Room 1035,1007.13,3.73
4693,2383,853,2024-04-06 00:00:00,Apt 566,Suite 24,3605.24,0.22
4255,1859,225,2024-04-06 00:00:00,Suite 66,PO Box 95918,4993.11,4.9
4487,1554,664,2024-04-06 00:00:00,19th Floor,Suite 11,924.05,2.93
3749,6048,968,2024-04-06 00:00:00,16th Floor,Room 656,1573.35,1.9
5590,4346,934,2024-04-06 00:00:00,Apt 39,13th Floor,3606.6,3.47
3356,1015,327,2024-04-06 00:00:00,Apt 1316,PO Box 5745,3029.76,1.76
1196,8350,815,2024-04-06 00:00:00,Suite 56,PO Box 67519,1914.63,4.56
9180,6263,525,2024-04-06 00:00:00,Apt 501,Room 643,752.97,0.63
7578,5720,698,2024-04-06 00:00:00,14th Floor,Apt 867,209.83,2.48
9315,1731,601,2024-04-06 00:00:00,Suite 88,Suite 39,3648.51,2.85
2858,5244,701,2024-04-06 00:00:00,Apt 1707,Apt 686,2167.97,4.83
1974,7132,713,2024-04-06 00:00:00,Room 382,Suite 21,1769.88,3.74
9796,6602,768,2024-04-06 00:00:00,Suite 72,Room 138,1147.0,2.68
2099,7787,575,2024-04-06 00:00:00,Room 374,PO Box 44599,1591.83,3.34
4090,2554,971,2024-04-06 00:00:00,Apt 1904,Suite 25,4235.99,1.42
8676,5640,940,2024-04-06 00:00:00,Suite 50,Suite 33,4912.21,2.47
4613,5556,837,2024-04-06 00:00:00,Room 686,Room 1556,4416.91,0.86
9005,6812,221,2024-04-06 00:00:00,Apt 1336,9th Floor,284.2,3.8
1185,2930,791,2024-04-06 00:00:00,Suite 100,Room 1373,2024.49,1.47
2021,4255,290,2024-04-06 00:00:00,Apt 228,Room 845,3203.16,0.41
8165,6262,834,2024-04-06 00:00:00,Suite 17,PO Box 39454,2438.98,2.25
1645,2006,752,2024-04-06 00:00:00,Suite 35,Room 169,3436.89,1.87
9057,9165,709,2024-04-06 00:00:00,Suite 43,Apt 1971,327.15,0.65
5797,6017,336,2024-04-06 00:00:00,Suite 23,Apt 377,2795.83,2.42
1069,6447,971,2024-04-06 00:00:00,Room 195,Apt 1283,2323.4,3.02
7324,1850,647,2024-04-06 00:00:00,20th Floor,Room 1286,933.33,4.05
6005,9565,957,2024-04-06 00:00:00,Apt 423,Apt 889,3289.05,1.45
5413,6331,507,2024-04-06 00:00:00,Suite 34,Room 1417,3203.22,4.64
7629,8712,830,2024-04-06 00:00:00,Suite 35,Suite 52,3714.57,1.59
8809,3570,636,2024-04-06 00:00:00,12th Floor,PO Box 35961,2613.78,1.53
1885,5639,809,2024-04-06 00:00:00,Room 1927,PO Box 8027,3933.84,0.12
9117,6157,434,2024-04-06 00:00:00,Apt 1299,Room 1138,4247.79,2.56
7956,8867,295,2024-04-06 00:00:00,Room 1808,Room 974,1595.23,2.81
9133,7953,952,2024-04-06 00:00:00,Suite 68,Room 1651,3350.17,0.33
9055,4662,541,2024-04-06 00:00:00,4th Floor,5th Floor,501.16,1.17
8075,6557,105,2024-04-06 00:00:00,Room 1966,Room 1381,2211.43,3.76
8664,3400,264,2024-04-06 00:00:00,Apt 610,20th Floor,828.6,3.76
7602,5823,829,2024-04-06 00:00:00,2nd Floor,Suite 32,572.69,4.86
7442,9336,220,2024-04-06 00:00:00,6th Floor,Room 259,3079.7,4.15
5075,7146,157,2024-04-06 00:00:00,Apt 32,16th Floor,2421.23,0.46
3649,4926,585,2024-04-06 00:00:00,Apt 1938,PO Box 13436,1132.65,1.35
4759,1549,480,2024-04-06 00:00:00,11th Floor,Suite 77,3392.34,0.17
3267,1181,826,2024-04-06 00:00:00,Apt 1064,8th Floor,265.18,3.66
5278,8318,794,2024-04-06 00:00:00,Apt 304,PO Box 43314,4719.9,3.38
2947,7255,717,2024-04-06 00:00:00,PO Box 73111,Suite 40,2554.34,2.98
1935,7632,913,2024-04-06 00:00:00,Apt 1020,12th Floor,2862.57,2.37
8136,2503,126,2024-04-06 00:00:00,Room 744,16th Floor,2823.23,2.3
2995,8059,249,2024-04-06 00:00:00,Apt 1817,Apt 151,3528.31,3.32
1110,3993,790,2024-04-06 00:00:00,PO Box 47945,Room 1545,3209.45,2.92
6328,6799,425,2024-04-06 00:00:00,Suite 77,Room 1404,2076.53,4.19
2783,8619,139,2024-04-06 00:00:00,PO Box 4785,Apt 1484,2419.68,0.15
9309,6999,452,2024-04-06 00:00:00,12th Floor,Apt 608,530.46,4.16
7296,8088,809,2024-04-06 00:00:00,Suite 12,Apt 125,762.16,3.98
9138,4327,255,2024-04-06 00:00:00,Suite 97,5th Floor,4260.08,1.66
6479,7351,448,2024-04-06 00:00:00,Room 587,Apt 263,4771.47,4.67
8306,6851,900,2024-04-06 00:00:00,3rd Floor,Room 964,4771.43,2.77
3876,8134,839,2024-04-06 00:00:00,PO Box 36277,Apt 1474,884.91,0.13
3542,9387,510,2024-04-06 00:00:00,Apt 1252,Suite 55,2148.58,3.96
6685,5502,152,2024-04-06 00:00:00,PO Box 97107,Room 1080,3978.53,1.94
8138,7091,599,2024-04-06 00:00:00,Suite 8,Room 762,1129.25,0.47
8966,5355,509,2024-04-06 00:00:00,Suite 70,PO Box 1872,3669.94,1.4
9517,9121,952,2024-04-06 00:00:00,Apt 158,Room 926,2024.71,3.06
2716,8717,214,2024-04-06 00:00:00,PO Box 91179,3rd Floor,4665.03,4.64
8833,7594,239,2024-04-06 00:00:00,Apt 333,1st Floor,2135.79,1.98
8808,9152,709,2024-04-06 00:00:00,7th Floor,PO Box 15252,2570.02,4.07
4727,7484,658,2024-04-06 00:00:00,PO Box 57769,14th Floor,73.76,3.04
6146,4124,501,2024-04-06 00:00:00,1st Floor,Apt 995,3305.3,4.66
1737,1010,545,2024-04-06 00:00:00,PO Box 9168,Suite 58,1094.81,4.77
6427,4793,146,2024-04-06 00:00:00,Room 1339,Room 9,2971.96,3.93
2287,5092,649,2024-04-06 00:00:00,18th Floor,15th Floor,4886.47,3.53
7883,4243,903,2024-04-06 00:00:00,Apt 1823,Room 464,3529.65,2.6
5706,6235,254,2024-04-06 00:00:00,Suite 60,Room 1994,3173.12,1.07
3077,5295,185,2024-04-06 00:00:00,PO Box 99207,PO Box 99122,3057.86,2.49
9362,1604,128,2024-04-06 00:00:00,PO Box 35025,Apt 1011,4955.23,1.3
4375,4992,588,2024-04-06 00:00:00,9th Floor,Suite 16,3778.13,0.99
4648,6746,371,2024-04-06 00:00:00,3rd Floor,Suite 60,310.62,1.35
2140,9536,283,2024-04-06 00:00:00,Room 275,14th Floor,4955.93,0.01
1694,8061,648,2024-04-06 00:00:00,Room 135,Apt 591,4699.3,4.32
5555,3487,863,2024-04-06 00:00:00,Room 999,PO Box 31033,1465.22,3.99
1314,5283,360,2024-04-06 00:00:00,Suite 86,Suite 32,3348.81,3.32
9982,4090,497,2024-04-06 00:00:00,Apt 1697,Suite 38,773.0,1.95
5160,2377,645,2024-04-06 00:00:00,Apt 1466,PO Box 84408,1495.35,2.51
8856,5993,919,2024-04-06 00:00:00,Room 1280,15th Floor,4222.42,2.62
7318,9796,481,2024-04-06 00:00:00,Apt 1795,Room 842,1229.68,1.3
5193,6984,837,2024-04-06 00:00:00,Apt 1579,17th Floor,665.12,2.4
1456,6548,569,2024-04-06 00:00:00,19th Floor,8th Floor,2643.01,0.53
6208,9891,545,2024-04-06 00:00:00,Room 114,Room 323,509.64,2.85
1594,9552,364,2024-04-06 00:00:00,Suite 81,Suite 34,2062.66,2.36
8459,8991,297,2024-04-06 00:00:00,Suite 58,Apt 1654,221.09,4.4
8154,5850,956,2024-04-06 00:00:00,10th Floor,Room 1649,2197.55,2.03
9373,1099,503,2024-04-06 00:00:00,Apt 350,Apt 930,4941.66,1.32
6758,4452,194,2024-04-06 00:00:00,Room 83,Apt 1509,4379.64,3.94
6835,1688,105,2024-04-06 00:00:00,13th Floor,Suite 88,1004.64,0.31
9509,9092,536,2024-04-06 00:00:00,7th Floor,Suite 96,337.25,2.7
1782,3712,613,2024-04-06 00:00:00,15th Floor,PO Box 83887,2381.41,0.0
4331,5603,910,2024-04-06 00:00:00,Room 317,Suite 90,2812.54,4.89
7168,4907,760,2024-04-06 00:00:00,Suite 13,Room 1829,2066.84,0.82
5302,9842,705,2024-04-06 00:00:00,PO Box 81837,Suite 82,1780.62,0.61
9873,9629,196,2024-04-06 00:00:00,PO Box 28481,16th Floor,2959.95,3.04
9880,5415,692,2024-04-06 00:00:00,1st Floor,Room 1401,2060.37,0.06
7869,6045,108,2024-04-06 00:00:00,PO Box 37872,PO Box 26453,1380.61,0.99
8146,7255,262,2024-04-06 00:00:00,PO Box 12380,11th Floor,1516.93,3.46
3750,6600,539,2024-04-06 00:00:00,Suite 15,3rd Floor,3326.13,1.57
7460,3685,818,2024-04-06 00:00:00,Apt 945,Apt 889,98.09,1.77
8768,9306,415,2024-04-06 00:00:00,PO Box 58128,PO Box 9579,3530.87,2.95
4526,4040,267,2024-04-06 00:00:00,PO Box 90899,Room 330,4918.69,2.29
4354,4735,724,2024-04-06 00:00:00,Suite 37,1st Floor,4543.17,4.58
2719,7680,517,2024-04-06 00:00:00,Apt 1150,PO Box 17783,3120.76,3.63
4557,3357,696,2024-04-06 00:00:00,PO Box 99308,Apt 171,1438.31,1.23
9178,4150,310,2024-04-06 00:00:00,Apt 969,17th Floor,4349.69,1.69
6641,3580,717,2024-04-06 00:00:00,PO Box 82580,Room 977,3511.97,4.82
3835,4578,744,2024-04-06 00:00:00,PO Box 85753,8th Floor,105.67,0.06
3872,7699,448,2024-04-06 00:00:00,Apt 1412,Room 1231,4565.11,0.13
9010,5360,300,2024-04-06 00:00:00,9th Floor,Room 689,567.04,4.58
4421,8533,351,2024-04-06 00:00:00,19th Floor,PO Box 46010,2924.66,4.21
3153,2075,910,2024-04-06 00:00:00,PO Box 44756,Suite 80,2895.37,3.09
7407,3709,490,2024-04-06 00:00:00,Apt 586,Apt 1550,104.51,2.67
6805,3069,974,2024-04-06 00:00:00,PO Box 68823,Room 1174,4507.42,2.0
5743,2209,149,2024-04-06 00:00:00,Suite 66,Suite 7,4175.08,1.34
8189,5555,188,2024-04-06 00:00:00,13th Floor,2nd Floor,3642.43,1.55
6950,2349,970,2024-04-06 00:00:00,Apt 1833,15th Floor,4914.56,0.49
1816,1166,761,2024-04-06 00:00:00,PO Box 93067,PO Box 21670,404.54,0.73
7304,2939,185,2024-04-06 00:00:00,Apt 1271,Suite 1,2351.61,2.79
4506,4591,725,2024-04-06 00:00:00,5th Floor,PO Box 34178,3869.18,1.47
5591,5083,549,2024-04-06 00:00:00,Room 886,1st Floor,3013.55,4.66
1628,7431,723,2024-04-06 00:00:00,PO Box 29235,Room 940,2623.22,0.93
3936,3980,771,2024-04-06 00:00:00,Room 1965,Apt 1459,847.83,0.68
3497,7932,702,2024-04-06 00:00:00,Suite 39,12th Floor,4603.66,1.3
2877,3182,581,2024-04-06 00:00:00,Room 1104,3rd Floor,1607.57,2.73
3544,9795,938,2024-04-06 00:00:00,Room 1201,PO Box 72464,2607.89,0.99
4503,4569,398,2024-04-06 00:00:00,PO Box 59404,Suite 96,3657.83,4.19
9750,9279,807,2024-04-06 00:00:00,Suite 77,Suite 53,4420.2,3.32
8261,2875,174,2024-04-06 00:00:00,Apt 428,PO Box 67572,2484.22,1.39
8306,1465,946,2024-04-06 00:00:00,PO Box 36675,Room 1771,2835.75,1.48
8116,5330,628,2024-04-06 00:00:00,Apt 113,Apt 1676,2910.15,3.72
7667,6855,760,2024-04-06 00:00:00,18th Floor,PO Box 18750,629.5,1.05
7284,6012,374,2024-04-06 00:00:00,Room 1962,16th Floor,3977.07,1.37
6174,2258,174,2024-04-06 00:00:00,Suite 62,3rd Floor,164.03,0.89
3641,2409,683,2024-04-06 00:00:00,Apt 586,Suite 100,2592.08,0.39
6678,1996,223,2024-04-06 00:00:00,2nd Floor,PO Box 12032,2742.27,4.77
8987,1525,297,2024-04-06 00:00:00,Room 614,Apt 499,3887.9,3.21
9648,9721,240,2024-04-06 00:00:00,Room 1746,Apt 1792,3460.69,0.74
7672,8864,919,2024-04-06 00:00:00,PO Box 93223,Apt 1778,2323.96,3.89
3845,7979,666,2024-04-06 00:00:00,16th Floor,Room 1982,425.24,3.22
2520,2397,820,2024-04-06 00:00:00,Apt 1297,Apt 852,4603.72,3.74
7210,6854,168,2024-04-06 00:00:00,Room 986,Suite 10,4530.02,1.57
3073,3604,527,2024-04-06 00:00:00,5th Floor,Apt 821,2517.14,2.62
2245,4548,406,2024-04-06 00:00:00,Apt 1624,Apt 13,1227.77,4.23
3864,1245,944,2024-04-06 00:00:00,Room 1381,PO Box 34087,1293.58,2.58
