order_id,customer_id,restaurant_id,order_time,customer_location,restaurant_location,order_value,rating,delivery_time
7628,8155,419,2024-04-06 15:31:04,Suite 57,Room 1103,4560.13,4.05,2024-04-06 16:12:34
6675,4609,739,2024-04-06 15:55:53,Room 792,15th Floor,4679.05,4.53,2024-04-06 16:50:06
6230,8079,484,2024-04-06 11:31:08,PO Box 64784,8th Floor,1360.91,0.87,2024-04-06 12:15:27
7423,9111,124,2024-04-06 05:13:22,PO Box 12640,Suite 73,1948.55,4.88,2024-04-06 06:03:09
7237,7293,605,2024-04-06 11:29:15,PO Box 22312,Apt 657,899.91,2.17,2024-04-06 11:55:38
4947,4073,680,2024-04-06 08:38:35,Suite 4,Apt 106,4982.11,4.83,2024-04-06 09:01:52
9805,6055,369,2024-04-06 00:10:03,Apt 423,Room 596,335.92,2.42,2024-04-06 00:54:33
5458,4905,496,2024-04-06 09:14:27,Room 1585,Room 275,2895.85,4.35,2024-04-06 09:57:50
1854,3173,902,2024-04-06 13:00:06,4th Floor,Suite 9,3495.52,2.92,2024-04-06 13:06:12
5884,1464,148,2024-04-06 14:40:35,Apt 1812,Suite 64,1328.04,4.83,2024-04-06 14:59:23
9833,3473,428,2024-04-06 00:36:05,Apt 1640,1st Floor,4993.15,4.54,2024-04-06 00:47:59
1537,4880,824,2024-04-06 20:37:17,4th Floor,Apt 1966,1587.39,4.17,2024-04-06 21:06:07
6711,8432,538,2024-04-06 18:50:00,Room 1343,Apt 858,2440.73,2.42,2024-04-06 18:52:39
1513,9995,908,2024-04-06 01:30:55,Apt 697,13th Floor,4564.6,3.8,2024-04-06 01:36:46
9736,8349,276,2024-04-06 15:23:43,Suite 34,PO Box 82992,1992.75,2.75,2024-04-06 15:29:10
8761,9910,306,2024-04-06 19:11:09,3rd Floor,Suite 26,4469.37,2.31,2024-04-06 19:51:03
8174,2713,593,2024-04-06 16:22:49,PO Box 15291,Suite 100,1641.64,4.86,2024-04-06 16:32:12
2481,3130,970,2024-04-06 05:15:25,18th Floor,2nd Floor,1237.98,1.21,2024-04-06 06:03:58
4641,3320,221,2024-04-06 18:16:19,Room 1355,Suite 78,1611.98,4.61,2024-04-06 18:36:29
8379,9181,957,2024-04-06 18:33:31,Room 586,Room 756,2220.09,1.34,2024-04-06 19:04:50
9540,4526,489,2024-04-06 07:23:54,Apt 1639,7th Floor,3045.41,4.66,2024-04-06 07:48:36
8322,1243,788,2024-04-06 19:39:40,9th Floor,4th Floor,2617.6,1.15,2024-04-06 20:28:47
7141,3734,467,2024-04-06 07:18:14,Suite 46,Apt 964,2420.98,1.95,2024-04-06 07:45:17
1956,6380,910,2024-04-06 15:16:34,Apt 1664,5th Floor,2494.76,1.35,2024-04-06 16:09:07
6484,3249,257,2024-04-06 07:18:50,Suite 29,PO Box 78923,4671.71,3.36,2024-04-06 07:52:53
3185,4067,672,2024-04-06 04:22:52,PO Box 21272,PO Box 60774,3817.92,2.99,2024-04-06 04:34:04
9075,7245,852,2024-04-06 05:49:54,Apt 955,Apt 1331,825.37,2.26,2024-04-06 06:42:10
6323,9581,269,2024-04-06 00:24:20,Suite 27,PO Box 3587,4167.12,0.61,2024-04-06 00:55:11
2105,3962,145,2024-04-06 09:56:35,Apt 1798,Apt 808,1449.95,3.81,2024-04-06 10:22:49
1719,5663,277,2024-04-06 05:45:25,Apt 428,8th Floor,4121.95,3.63,2024-04-06 06:36:00
5831,8546,556,2024-04-06 19:25:55,13th Floor,Room 121,4211.24,2.18,2024-04-06 20:21:50
5514,9180,468,2024-04-06 03:41:14,PO Box 85780,PO Box 42259,4993.55,4.44,2024-04-06 03:52:53
1711,9463,709,2024-04-06 01:52:32,4th Floor,Apt 1716,3584.53,3.56,2024-04-06 02:46:24
2717,7401,687,2024-04-06 13:25:03,Suite 92,Room 1543,722.79,2.41,2024-04-06 13:33:37
7116,7476,167,2024-04-06 02:34:16,Apt 1719,Apt 25,202.88,1.49,2024-04-06 03:18:22
6997,8392,502,2024-04-06 03:15:47,Room 1673,Room 1212,1050.28,4.77,2024-04-06 03:31:24
1247,2345,731,2024-04-06 08:49:13,Room 610,2nd Floor,3736.54,3.15,2024-04-06 09:00:14
6458,8904,252,2024-04-06 05:51:48,PO Box 26345,Room 1162,4435.32,4.34,2024-04-06 06:11:43
1704,9739,983,2024-04-06 02:56:10,PO Box 71659,6th Floor,2153.41,2.6,2024-04-06 03:37:18
3133,8273,999,2024-04-06 09:19:30,Room 994,1st Floor,1150.52,3.75,2024-04-06 10:11:06
9612,5238,854,2024-04-06 19:08:09,Suite 6,Apt 1238,3148.23,1.19,2024-04-06 19:18:38
4700,5477,301,2024-04-06 18:35:11,Room 263,PO Box 94884,2009.6,3.82,2024-04-06 19:22:59
5720,2483,912,2024-04-06 06:53:42,Suite 89,PO Box 32111,16.59,2.95,2024-04-06 07:15:34
2745,2583,304,2024-04-06 13:57:27,9th Floor,Suite 49,4614.25,1.39,2024-04-06 14:39:56
9503,3594,338,2024-04-06 11:59:30,Suite 79,6th Floor,4282.03,0.92,2024-04-06 12:18:00
9797,2093,907,2024-04-06 03:56:50,PO Box 77823,Suite 5,3078.6,4.15,2024-04-06 04:12:47
3457,5915,521,2024-04-06 13:29:07,7th Floor,PO Box 79307,833.81,0.41,2024-04-06 13:30:14
4749,8792,216,2024-04-06 04:02:15,18th Floor,Suite 67,1890.13,3.06,2024-04-06 04:11:02
9960,2193,976,2024-04-06 05:03:22,Suite 71,Apt 1661,3511.82,2.87,2024-04-06 05:06:34
1842,7037,720,2024-04-06 07:01:43,PO Box 1591,PO Box 31351,2793.53,2.8,2024-04-06 07:13:05
5818,3835,339,2024-04-06 07:14:16,Apt 514,Apt 604,4209.13,4.27,2024-04-06 07:18:22
8464,5673,864,2024-04-06 10:22:24,Suite 72,PO Box 51245,1698.11,1.69,2024-04-06 11:15:32
2099,5907,117,2024-04-06 17:35:27,Suite 69,Room 870,2717.69,2.88,2024-04-06 18:20:10
5441,9565,750,2024-04-06 05:21:22,Apt 1928,Room 102,2453.87,1.43,2024-04-06 05:44:15
4795,5385,594,2024-04-06 03:07:10,Suite 31,7th Floor,4226.73,2.6,2024-04-06 03:07:58
6117,4441,706,2024-04-06 16:05:43,Room 1942,Apt 1256,4737.49,4.59,2024-04-06 16:37:50
4396,7250,705,2024-04-06 03:13:22,Apt 590,Apt 704,4553.02,2.89,2024-04-06 03:52:16
6545,8183,893,2024-04-06 13:13:51,9th Floor,PO Box 72852,2336.31,4.48,2024-04-06 13:19:28
3089,4589,249,2024-04-06 12:18:14,Apt 246,Apt 977,3498.98,3.44,2024-04-06 12:36:43
1053,1284,409,2024-04-06 13:43:45,Room 1760,PO Box 21381,236.14,1.93,2024-04-06 14:10:00
4961,3997,806,2024-04-06 03:14:08,Suite 12,Room 1007,3409.69,4.09,2024-04-06 03:19:10
6175,7874,794,2024-04-06 07:06:16,Apt 1271,1st Floor,2822.83,0.86,2024-04-06 07:18:53
6884,2215,383,2024-04-06 10:32:10,Apt 276,Room 971,939.7,2.43,2024-04-06 11:17:19
8355,8656,978,2024-04-06 10:58:49,Room 925,Suite 83,4241.35,4.02,2024-04-06 11:45:48
2691,3664,971,2024-04-06 10:28:37,Suite 9,Room 525,1277.17,0.88,2024-04-06 11:08:46
8637,7781,895,2024-04-06 02:49:35,Suite 19,Apt 1308,3331.31,1.07,2024-04-06 03:37:27
4564,3680,529,2024-04-06 14:39:18,Apt 925,Room 963,1086.34,1.42,2024-04-06 15:38:07
8306,1080,391,2024-04-06 14:26:01,PO Box 42228,PO Box 71662,1970.29,3.62,2024-04-06 15:13:53
7102,7288,195,2024-04-06 06:18:17,Room 1635,Apt 344,24.98,3.59,2024-04-06 06:34:50
6779,3233,157,2024-04-06 15:42:57,Room 685,Apt 821,2901.79,3.73,2024-04-06 16:12:45
6750,6601,466,2024-04-06 03:48:58,Apt 1440,Apt 1944,184.08,0.64,2024-04-06 04:45:03
7267,2273,390,2024-04-06 21:25:12,14th Floor,Suite 52,1096.41,3.72,2024-04-06 21:44:41
2107,9745,126,2024-04-06 17:01:57,PO Box 96290,Apt 1924,4995.81,3.74,2024-04-06 17:32:27
2966,7123,494,2024-04-06 03:01:06,PO Box 87356,Apt 753,3489.45,1.28,2024-04-06 03:57:30
8022,2366,516,2024-04-06 04:55:10,Apt 775,Room 453,3264.18,2.96,2024-04-06 05:15:32
8896,2464,293,2024-04-06 21:08:32,PO Box 70871,Apt 1017,4525.57,4.69,2024-04-06 21:35:24
2871,5744,775,2024-04-06 12:30:06,Apt 54,Apt 1621,4050.19,4.05,2024-04-06 12:42:39
8404,3699,491,2024-04-06 06:21:23,8th Floor,Suite 79,1768.75,0.5,2024-04-06 06:21:35
3216,2419,118,2024-04-06 19:10:29,18th Floor,Room 788,2646.43,0.32,2024-04-06 19:27:26
1962,5258,773,2024-04-06 02:34:59,Suite 67,Suite 9,162.11,1.18,2024-04-06 02:35:38
6634,5993,337,2024-04-06 07:56:22,Apt 1907,Room 132,853.35,4.57,2024-04-06 08:35:01
4659,9311,414,2024-04-06 14:18:17,Room 1861,Apt 75,218.17,3.8,2024-04-06 14:29:05
5292,1007,335,2024-04-06 09:57:56,Suite 45,Apt 363,78.62,4.3,2024-04-06 10:56:03
8690,1248,634,2024-04-06 17:54:23,PO Box 50516,Apt 867,4118.08,5.0,2024-04-06 18:10:55
9796,2173,681,2024-04-06 17:10:33,10th Floor,Suite 43,4068.06,0.45,2024-04-06 17:49:43
1366,1846,636,2024-04-06 02:29:51,PO Box 13065,9th Floor,3301.74,4.67,2024-04-06 02:35:15
5721,6885,362,2024-04-06 03:07:38,Room 1973,13th Floor,1966.23,4.42,2024-04-06 03:44:22
8072,5831,797,2024-04-06 18:20:51,Apt 692,Suite 15,1316.76,4.17,2024-04-06 18:57:55
8657,4168,687,2024-04-06 17:46:52,PO Box 66186,2nd Floor,505.9,2.54,2024-04-06 18:08:22
5891,6124,995,2024-04-06 15:44:23,Apt 897,Apt 1020,3374.11,3.66,2024-04-06 16:27:50
3363,6759,778,2024-04-06 07:15:24,PO Box 37557,4th Floor,3904.08,0.47,2024-04-06 08:00:14
5636,8824,522,2024-04-06 20:04:41,17th Floor,Apt 567,931.72,4.14,2024-04-06 20:38:25
8247,7206,481,2024-04-06 21:25:19,Apt 1649,Apt 1285,4553.22,4.29,2024-04-06 22:15:48
9509,4263,336,2024-04-06 00:15:23,Suite 44,PO Box 64767,119.39,2.84,2024-04-06 01:11:52
4941,4997,440,2024-04-06 04:10:30,Suite 77,PO Box 24670,550.5,3.1,2024-04-06 05:09:46
2962,9782,152,2024-04-06 10:10:41,Apt 368,Apt 1283,3196.92,1.61,2024-04-06 10:24:18
3196,1427,368,2024-04-06 16:34:43,Apt 246,Room 1461,2769.04,3.38,2024-04-06 17:21:11
2810,8379,838,2024-04-06 07:37:22,Room 786,4th Floor,3180.72,4.85,2024-04-06 08:16:06
1609,4161,904,2024-04-06 13:51:24,PO Box 94666,13th Floor,1357.12,2.54,2024-04-06 14:46:55
4393,7781,251,2024-04-06 12:29:42,5th Floor,Suite 62,800.13,3.3,2024-04-06 13:06:39
5509,4217,722,2024-04-06 19:22:23,Room 948,Room 148,3738.37,0.29,2024-04-06 20:15:00
2788,8415,503,2024-04-06 07:28:13,Room 800,PO Box 65966,2637.88,3.56,2024-04-06 07:34:06
5843,6137,112,2024-04-06 03:39:48,PO Box 42115,Suite 69,3327.79,4.25,2024-04-06 04:17:47
7207,2421,679,2024-04-06 15:59:37,PO Box 51712,PO Box 10708,4242.96,1.44,2024-04-06 16:45:45
5061,7507,277,2024-04-06 14:13:59,Room 464,6th Floor,4123.62,4.99,2024-04-06 14:31:47
3819,4075,624,2024-04-06 03:30:55,PO Box 21169,Suite 5,3299.13,0.87,2024-04-06 03:41:59
7384,9173,883,2024-04-06 15:13:49,Suite 56,Apt 759,2229.21,1.92,2024-04-06 15:43:19
7701,5788,540,2024-04-06 00:43:07,Suite 78,Room 1768,1733.27,1.53,2024-04-06 01:06:44
7855,6922,696,2024-04-06 11:39:53,9th Floor,PO Box 52040,4612.74,1.29,2024-04-06 12:05:25
8794,1511,865,2024-04-06 05:31:02,PO Box 62853,PO Box 862,1706.53,3.0,2024-04-06 06:19:21
8208,2795,438,2024-04-06 04:03:34,PO Box 65272,Suite 18,3781.48,2.43,2024-04-06 04:11:43
5461,9308,673,2024-04-06 10:48:33,Room 887,Suite 11,1302.73,1.95,2024-04-06 11:02:54
4675,6265,429,2024-04-06 02:08:07,Suite 57,Room 671,3391.43,4.09,2024-04-06 03:04:01
8121,3964,259,2024-04-06 09:26:33,Room 1476,Apt 1648,3611.74,1.34,2024-04-06 09:43:47
9994,6839,639,2024-04-06 16:01:03,Apt 138,Room 836,1255.12,0.68,2024-04-06 16:47:03
1769,4140,407,2024-04-06 00:09:59,Suite 24,Suite 78,3190.61,1.31,2024-04-06 01:04:01
5771,5491,605,2024-04-06 18:20:18,PO Box 78202,Room 624,3526.69,1.07,2024-04-06 18:58:14
3773,9420,210,2024-04-06 13:54:37,13th Floor,PO Box 35376,4197.19,1.73,2024-04-06 14:20:35
9717,1877,982,2024-04-06 01:06:22,Room 404,Apt 1134,4493.17,1.03,2024-04-06 01:23:40
3755,4847,535,2024-04-06 17:55:30,Apt 145,Apt 1712,1536.77,3.4,2024-04-06 18:40:09
4576,3199,824,2024-04-06 03:10:13,Suite 86,18th Floor,2144.37,4.42,2024-04-06 04:06:00
6889,7428,316,2024-04-06 00:10:51,Suite 17,PO Box 67059,3638.56,4.59,2024-04-06 00:32:30
3599,8441,915,2024-04-06 08:41:42,3rd Floor,Apt 1662,3079.0,4.97,2024-04-06 08:50:38
5375,9717,248,2024-04-06 02:25:43,Room 1319,Room 835,2852.22,4.04,2024-04-06 02:38:12
8660,2494,796,2024-04-06 00:47:17,PO Box 3124,Apt 1338,119.8,3.23,2024-04-06 01:36:18
5470,4159,790,2024-04-06 15:03:09,Suite 19,PO Box 32571,223.79,3.6,2024-04-06 15:14:48
2877,2165,415,2024-04-06 06:12:49,Suite 10,Room 1329,2298.17,0.84,2024-04-06 06:38:08
3782,2476,979,2024-04-06 06:27:13,Apt 495,Apt 202,2682.63,0.91,2024-04-06 07:01:28
2672,1183,670,2024-04-06 07:52:06,4th Floor,Apt 218,1031.92,3.11,2024-04-06 07:55:41
7665,7473,984,2024-04-06 02:56:48,Suite 89,PO Box 17533,3225.4,3.69,2024-04-06 03:30:01
1957,2632,469,2024-04-06 17:58:25,PO Box 81839,Suite 38,2963.21,4.17,2024-04-06 18:41:14
5668,1611,838,2024-04-06 00:05:25,Apt 386,Room 1231,3183.23,4.02,2024-04-06 00:08:46
1286,1021,943,2024-04-06 13:40:33,Apt 455,Room 768,2195.07,2.9,2024-04-06 14:29:58
7728,9661,546,2024-04-06 04:50:07,3rd Floor,PO Box 2163,1253.85,2.06,2024-04-06 05:04:07
9989,4846,978,2024-04-06 05:57:52,PO Box 3877,Room 611,1908.21,4.56,2024-04-06 06:10:18
7545,3353,724,2024-04-06 08:52:34,Apt 978,Room 1704,2751.6,1.45,2024-04-06 09:49:43
3993,4708,490,2024-04-06 01:59:33,Suite 56,18th Floor,1370.12,1.01,2024-04-06 02:28:26
8155,5465,905,2024-04-06 07:56:26,Suite 88,Apt 1881,4682.55,0.04,2024-04-06 08:03:02
7702,4366,952,2024-04-06 21:23:34,Room 1532,Suite 79,3168.15,0.29,2024-04-06 21:49:10
5826,9507,475,2024-04-06 20:56:54,Suite 44,Apt 1867,1160.72,3.97,2024-04-06 21:13:01
1437,1960,412,2024-04-06 05:30:21,PO Box 93051,Suite 31,14.15,2.86,2024-04-06 05:59:52
8343,8059,143,2024-04-06 02:48:23,Room 912,2nd Floor,1850.2,2.89,2024-04-06 03:40:20
8637,8575,989,2024-04-06 04:09:26,Suite 58,Room 426,195.01,0.75,2024-04-06 05:06:31
6910,4407,831,2024-04-06 06:41:03,1st Floor,Apt 1226,4705.52,0.38,2024-04-06 07:14:41
9787,9673,764,2024-04-06 21:12:13,20th Floor,PO Box 17857,4160.19,2.79,2024-04-06 21:31:56
7604,1613,406,2024-04-06 09:35:37,5th Floor,Suite 95,2863.27,0.97,2024-04-06 10:03:10
8817,2744,818,2024-04-06 05:27:45,Suite 84,Room 664,3790.0,2.42,2024-04-06 06:11:27
2928,8325,141,2024-04-06 01:23:42,Suite 24,Apt 870,1920.9,0.12,2024-04-06 02:00:32
5798,2125,926,2024-04-06 19:53:51,14th Floor,Suite 85,4886.79,0.12,2024-04-06 20:35:04
8154,5983,719,2024-04-06 04:15:45,PO Box 79717,Suite 53,42.9,3.76,2024-04-06 04:39:38
1538,1822,487,2024-04-06 06:18:06,Apt 1321,5th Floor,4591.84,2.98,2024-04-06 06:30:41
7189,1953,809,2024-04-06 17:26:35,PO Box 38576,19th Floor,1015.87,4.11,2024-04-06 18:07:07
8466,4898,422,2024-04-06 16:38:03,Suite 22,Room 196,160.0,4.15,2024-04-06 16:50:03
6613,9463,252,2024-04-06 11:32:50,Room 1582,5th Floor,3205.78,1.1,2024-04-06 11:54:43
1975,3329,254,2024-04-06 10:08:26,8th Floor,Apt 1068,3707.57,1.33,2024-04-06 10:16:14
5327,7294,614,2024-04-06 15:56:14,Room 1053,Apt 1991,189.8,4.37,2024-04-06 16:32:33
8638,1493,286,2024-04-06 15:19:20,Apt 353,Apt 1033,2989.23,0.6,2024-04-06 15:45:55
6990,6318,832,2024-04-06 06:02:19,Room 454,PO Box 3990,1187.89,0.81,2024-04-06 06:48:49
6957,3183,409,2024-04-06 12:02:01,Apt 317,Suite 87,959.94,0.33,2024-04-06 12:52:32
1683,6585,383,2024-04-06 08:29:25,PO Box 7291,Suite 20,4244.64,1.6,2024-04-06 08:31:09
6286,6998,938,2024-04-06 01:03:46,Apt 1737,Apt 66,1791.05,3.23,2024-04-06 01:15:35
9871,8309,511,2024-04-06 07:35:05,Apt 1437,Suite 82,1121.72,4.9,2024-04-06 07:59:32
2664,6620,453,2024-04-06 19:49:33,18th Floor,Apt 879,799.62,4.7,2024-04-06 20:24:13
7829,9970,334,2024-04-06 03:28:23,Room 1711,PO Box 27740,20.95,0.64,2024-04-06 03:43:27
7625,9976,504,2024-04-06 12:14:29,Apt 274,PO Box 71053,823.89,3.68,2024-04-06 13:00:20
5176,1150,969,2024-04-06 12:12:59,Apt 1186,PO Box 22081,121.69,3.27,2024-04-06 12:16:43
2073,8733,650,2024-04-06 13:24:37,Suite 92,PO Box 79744,4121.75,1.37,2024-04-06 14:14:07
4822,5857,544,2024-04-06 07:18:07,Suite 28,Suite 41,689.69,0.38,2024-04-06 07:35:38
6153,9852,645,2024-04-06 03:47:26,10th Floor,15th Floor,300.58,3.52,2024-04-06 04:27:33
1069,8115,537,2024-04-06 09:36:17,PO Box 43226,Room 701,4315.64,3.57,2024-04-06 10:35:13
9606,5569,429,2024-04-06 19:26:28,1st Floor,Room 438,3060.47,2.16,2024-04-06 19:44:42
2500,4156,518,2024-04-06 14:33:20,Room 169,Suite 76,3238.08,1.13,2024-04-06 14:58:06
8371,1007,557,2024-04-06 00:07:29,PO Box 55236,Room 777,4249.39,1.11,2024-04-06 00:21:35
8348,1005,926,2024-04-06 08:31:05,PO Box 4706,PO Box 66998,4927.83,1.32,2024-04-06 08:39:00
8345,2520,933,2024-04-06 02:39:07,PO Box 72988,Apt 1811,1951.15,1.4,2024-04-06 02:53:15
1802,5319,743,2024-04-06 21:40:43,15th Floor,2nd Floor,2344.4,2.49,2024-04-06 22:28:09
4648,9059,890,2024-04-06 17:59:22,PO Box 45505,PO Box 79703,256.8,2.42,2024-04-06 18:38:46
2312,7720,910,2024-04-06 17:02:49,Room 98,15th Floor,2722.85,3.98,2024-04-06 17:25:43
9862,2933,943,2024-04-06 00:25:46,PO Box 31627,2nd Floor,3333.35,0.81,2024-04-06 01:03:28
2255,1350,263,2024-04-06 13:27:55,Apt 322,Apt 1294,953.15,4.67,2024-04-06 14:08:14
3601,6446,814,2024-04-06 18:51:33,Apt 706,Room 1015,123.26,2.34,2024-04-06 19:41:37
5595,5427,397,2024-04-06 07:26:44,Apt 1223,Suite 1,3978.62,1.51,2024-04-06 07:52:54
8693,7966,703,2024-04-06 05:16:29,Apt 1329,PO Box 17140,669.29,2.84,2024-04-06 05:40:37
5260,3023,589,2024-04-06 15:13:10,PO Box 57916,2nd Floor,2936.98,2.33,2024-04-06 15:33:01
5041,2080,266,2024-04-06 08:38:46,PO Box 83369,Room 764,537.99,3.14,2024-04-06 09:14:54
9528,8087,684,2024-04-06 04:59:18,10th Floor,Apt 1736,730.01,1.37,2024-04-06 05:41:44
3752,1158,939,2024-04-06 15:08:44,Room 635,Suite 90,2656.09,0.73,2024-04-06 15:49:51
4355,4009,980,2024-04-06 14:27:48,PO Box 31123,PO Box 81462,3067.85,4.49,2024-04-06 15:02:24
7424,8863,120,2024-04-06 20:16:08,Suite 35,Apt 1304,4066.63,2.36,2024-04-06 20:40:58
5203,3931,912,2024-04-06 12:28:36,Suite 49,Suite 53,4760.68,0.24,2024-04-06 13:20:52
7609,3098,129,2024-04-06 17:23:45,Suite 59,PO Box 66587,1998.76,2.14,2024-04-06 17:39:23
9754,2671,405,2024-04-06 00:32:48,Room 996,Room 124,3186.26,1.91,2024-04-06 00:38:33
5637,7548,651,2024-04-06 20:13:54,13th Floor,Room 324,3647.1,1.1,2024-04-06 20:14:42
9428,5701,363,2024-04-06 04:14:32,20th Floor,19th Floor,2636.76,1.01,2024-04-06 04:57:36
8911,8904,290,2024-04-06 07:33:59,5th Floor,Room 742,1154.99,2.52,2024-04-06 08:19:04
7399,5074,934,2024-04-06 17:45:53,Suite 2,1st Floor,599.23,1.11,2024-04-06 18:20:15
5069,3860,154,2024-04-06 03:54:59,14th Floor,Suite 81,3178.9,2.83,2024-04-06 04:35:44
3337,3110,193,2024-04-06 03:13:43,Suite 52,Room 1447,1713.32,2.88,2024-04-06 03:45:33
3504,7697,647,2024-04-06 16:20:57,PO Box 10885,Room 967,1408.72,3.0,2024-04-06 16:39:41
1806,2438,954,2024-04-06 17:03:12,PO Box 11574,PO Box 1389,4003.89,1.4,2024-04-06 17:28:08
1916,1361,430,2024-04-06 08:12:06,PO Box 19439,7th Floor,3458.92,3.08,2024-04-06 08:40:19
4974,6000,204,2024-04-06 15:17:05,Suite 28,Suite 65,1922.06,2.41,2024-04-06 15:45:53
9313,5728,518,2024-04-06 13:48:46,Room 18,Suite 6,2882.82,4.78,2024-04-06 14:05:44
7924,7830,767,2024-04-06 14:42:07,PO Box 84327,Suite 31,2420.29,1.79,2024-04-06 15:25:21
2676,1277,373,2024-04-06 02:23:27,14th Floor,Room 661,2074.47,2.31,2024-04-06 03:13:40
7115,7603,167,2024-04-06 08:50:25,PO Box 41777,Apt 1776,4480.69,1.07,2024-04-06 09:04:40
3311,5012,729,2024-04-06 06:54:53,PO Box 14122,18th Floor,4730.34,3.18,2024-04-06 07:19:20
1570,9323,860,2024-04-06 06:33:57,Room 729,Apt 241,4427.64,0.66,2024-04-06 07:14:51
2394,9135,271,2024-04-06 13:24:41,Room 191,Apt 1152,512.84,3.34,2024-04-06 13:47:27
5292,3263,474,2024-04-06 01:19:28,PO Box 21770,Room 1995,2782.38,0.05,2024-04-06 02:15:06
5361,7169,243,2024-04-06 13:13:39,Apt 1566,Apt 1027,1463.53,1.0,2024-04-06 13:45:44
9246,6282,514,2024-04-06 07:11:47,PO Box 16709,Suite 22,747.26,4.14,2024-04-06 08:01:08
3837,6237,264,2024-04-06 16:27:37,15th Floor,PO Box 80289,4854.41,4.51,2024-04-06 16:31:28
8494,6290,288,2024-04-06 09:59:45,Suite 54,Room 1840,222.92,4.32,2024-04-06 10:31:07
4522,7868,721,2024-04-06 05:58:29,Room 924,PO Box 24409,4824.23,2.75,2024-04-06 06:33:18
3435,3530,996,2024-04-06 19:06:07,Apt 1485,Room 1253,150.14,1.47,2024-04-06 20:03:24
9480,4190,768,2024-04-06 07:13:52,Room 1326,Suite 2,4809.41,3.31,2024-04-06 07:39:40
3727,1766,300,2024-04-06 12:08:39,Apt 1212,PO Box 69372,4975.23,4.29,2024-04-06 12:36:49
7895,3545,613,2024-04-06 16:26:04,Suite 26,Room 1795,824.54,2.04,2024-04-06 16:29:34
4565,5370,680,2024-04-06 15:54:49,Apt 1867,16th Floor,1776.18,0.13,2024-04-06 16:49:10
2802,5719,170,2024-04-06 19:16:14,Apt 609,Room 1796,2288.4,3.72,2024-04-06 19:56:41
8063,5118,656,2024-04-06 12:14:27,Suite 17,PO Box 80764,3287.69,4.56,2024-04-06 12:56:51
4529,6540,904,2024-04-06 19:21:24,Suite 3,Suite 78,244.64,4.5,2024-04-06 19:34:04
1427,4987,785,2024-04-06 20:49:50,Suite 13,17th Floor,933.45,0.04,2024-04-06 21:35:12
